Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd,SKMS,SKP,SLy4,SV-min,UNEDF0,UNEDF1,UNEDF1-SO,UNEDF2,FRDM2012,HFB24
4,3,10.19414,0.05000,10.04018,0.02000,*,*,*,*,*,*,*,*,12.153214,12.136531,11.495663,9.534420,12.504557,10.941249,*,10.902377,*,*
4,5,29.33133,0.01666,29.30261,0.00756,*,*,*,*,*,*,*,*,25.520061,26.665840,26.490087,24.408523,27.975409,26.579085,*,26.648875,*,*
4,7,35.34331,0.03010,35.33660,0.04682,*,*,*,*,*,*,*,*,35.618496,37.486743,37.991975,35.125012,38.210351,36.545543,*,37.479435,*,*
4,9,*,*,*,*,*,*,*,*,*,*,*,*,42.287392,44.679525,45.392196,41.414522,44.035489,41.962220,*,43.179525,*,*
4,11,*,*,*,*,*,*,*,*,*,*,*,*,47.578823,50.013818,50.664343,45.985999,48.442184,46.319664,*,47.141729,*,*
4,13,*,*,*,*,*,*,*,*,*,*,*,*,52.786722,55.062341,55.949662,50.964046,52.896462,50.527469,*,*,*,*
4,15,*,*,*,*,*,*,*,*,*,*,*,*,57.354945,59.309311,60.732580,55.236507,56.557190,53.989601,*,*,*,*
4,17,*,*,*,*,*,*,*,*,*,*,*,*,60.069630,61.872652,63.847084,57.901996,58.771618,55.986344,*,*,*,*
4,19,*,*,*,*,*,*,*,*,*,*,*,*,61.061758,62.972274,65.282636,59.278487,59.848603,56.969510,*,*,*,*
4,21,*,*,*,*,*,*,*,*,*,*,*,*,61.543195,63.475682,65.981912,60.165578,60.578580,57.862342,*,*,*,*
4,23,*,*,*,*,*,*,*,*,*,*,*,*,62.036266,63.949847,66.625426,61.093750,61.387428,59.086817,*,*,*,*
4,25,*,*,*,*,*,*,*,*,*,*,*,*,62.639984,64.532278,67.256724,62.111437,62.244083,60.552292,*,*,*,*
6,3,1.43748,0.00214,1.43597,0.00214,*,*,*,*,*,*,*,*,4.953988,3.670938,3.508612,4.169101,3.344579,4.374275,*,4.261054,*,*
6,5,15.27525,0.00103,15.27700,0.00010,*,*,*,*,*,*,*,*,17.177057,16.338992,16.581780,16.570083,16.257856,17.593394,*,17.609791,*,*
6,7,31.62699,0.00636,31.63010,0.00024,*,*,*,*,*,*,*,*,27.790489,27.594432,27.949006,27.547540,27.732131,29.537467,*,29.647402,*,*
6,9,37.95262,0.07159,38.36387,0.01021,*,*,*,*,*,*,*,*,36.229930,36.592467,37.122585,36.002121,36.518329,38.004555,*,38.251962,*,*
6,11,*,*,43.37186,0.16670,*,*,*,*,*,*,*,*,43.213397,43.953138,44.560747,42.859355,43.589605,45.534526,*,44.824494,*,*
6,13,*,*,*,*,*,*,*,*,*,*,*,*,49.352409,50.478608,51.131836,48.892983,49.643924,51.190664,*,50.848116,*,*
6,15,*,*,*,*,*,*,*,*,*,*,*,*,54.648387,56.114508,56.928403,54.173934,54.780142,54.993933,*,56.129227,*,*
6,17,*,*,*,*,*,*,*,*,*,*,*,*,58.302847,60.289739,61.344558,58.103101,58.347619,58.406279,*,59.577042,*,*
6,19,*,*,*,*,*,*,*,*,*,*,*,*,60.442246,62.897424,64.273872,60.530860,60.435233,60.246552,*,61.341378,*,*
6,21,*,*,*,*,*,*,*,*,*,*,*,*,61.867102,64.489044,66.128329,62.034123,61.755240,61.429779,*,*,*,*
6,23,*,*,*,*,*,*,*,*,*,*,*,*,62.846563,65.422003,67.077221,62.886895,62.559704,62.243276,*,*,*,*
6,25,*,*,*,*,*,*,*,*,*,*,*,*,63.922195,66.264435,67.783686,63.589367,63.300834,63.025818,*,*,*,*
6,27,*,*,*,*,*,*,*,*,*,*,*,*,65.639095,67.626906,69.026334,64.903219,64.593898,64.212741,*,*,*,*
6,29,*,*,*,*,*,*,*,*,*,*,*,*,67.973417,69.436160,70.828268,66.682891,66.314094,65.628693,*,*,*,*
6,31,*,*,*,*,*,*,*,*,*,*,*,*,70.426029,71.122509,72.639912,68.334804,67.860208,66.916638,*,*,*,*
6,33,*,*,*,*,*,*,*,*,*,*,*,*,72.395263,72.447396,74.182800,69.699002,69.087807,68.042505,*,*,*,*
8,3,*,*,*,*,*,*,*,*,*,*,*,*,-2.912343,-3.398165,-3.649714,-2.209141,-3.333549,-2.253864,*,-2.689674,*,*
8,5,2.11585,0.00957,2.11191,0.00953,*,*,*,*,*,*,*,*,5.229511,5.646009,5.840340,6.233277,4.811223,6.041463,*,5.915587,*,*
8,7,14.84735,0.00049,14.84734,0.00049,*,*,*,*,*,*,*,*,14.440822,15.432767,15.786784,15.672000,14.366835,16.404641,*,16.419133,*,*
8,9,25.25990,0.00081,25.25985,0.00080,*,*,*,*,*,*,*,*,23.019749,24.300563,24.848729,24.606674,23.326281,26.305281,*,26.364823,*,*
8,11,32.28190,0.01758,32.27698,0.01756,*,*,*,*,*,*,*,*,30.475626,31.989177,32.847366,32.326367,31.170280,33.325864,*,34.777792,*,*
8,13,38.93570,0.09912,38.92966,0.09912,*,*,*,*,*,*,*,*,37.126396,38.889508,39.933664,38.968217,37.970926,40.137976,*,41.957165,*,*
8,15,*,*,*,*,*,*,*,*,*,*,*,*,42.741015,45.002996,46.035228,44.604008,43.601149,46.882824,*,47.742254,*,*
8,17,*,*,*,*,*,*,*,*,*,*,*,*,47.371313,50.177997,51.220683,49.260236,48.024405,51.251870,*,52.031562,*,*
