Z, N, experiment, MC, EO, MC-EO, warning
99,152,2003,6.59666,6.59666,0.0,
70,103,2003,0.94749,0.94749,0.0,
100,147,2003,8.213,8.213,0.0,
74,106,2003,2.50812,2.50812,0.0,
75,104,2003,3.39752,3.39752,0.0,
82,101,2003,6.928,6.928,0.0,
54,58,2003,3.33033,3.33033,0.0,
63,76,2003,2.15457,2.15457,0.0,
61,76,2003,1.43982,1.43982,0.0,
76,100,2003,4.57433,4.57433,0.0,
77,114,2003,2.08439,2.08439,0.0,
110,160,2003,11.19609,11.19609,0.0,
91,132,2003,8.32628,8.32628,0.0,
72,92,2003,3.92316,3.92316,0.0,
82,127,2003,2.24814,2.24814,0.0,
81,119,2003,1.66701,1.66701,0.0,
92,135,2003,7.21131,7.21131,0.0,
65,84,2003,4.07754,4.07754,0.0,
74,94,2003,4.50643,4.50643,0.0,
53,64,2003,1.56032,1.56032,0.0,
88,124,2003,7.03164,7.03164,0.0,
64,88,2003,2.20305,2.20305,0.0,
65,78,2003,2.53875,2.53875,0.0,
78,120,2003,0.10009,0.10009,0.0,
98,148,2003,6.8616,6.8616,0.0,
76,88,2003,6.47723,6.47723,0.0,
79,106,2003,5.17991,5.17991,0.0,
95,144,2003,5.9224,5.9224,0.0,
83,111,2003,5.9183,5.9183,0.0,
90,126,2003,8.0708,8.0708,0.0,
67,80,2003,2.17201,2.17201,0.0,
86,129,2003,8.83902,8.83902,0.0,
78,98,2003,5.88524,5.88524,0.0,
98,142,2003,7.7188,7.7188,0.0,
84,113,2003,6.41161,6.41161,0.0,
85,109,2003,7.29053,7.29053,0.0,
87,132,2003,7.44853,7.44853,0.0,
114,173,2003,10.4358,10.4358,0.0,
68,92,2003,2.04643,2.04643,0.0,
3,2,2003,1.965,1.965,0.0,
51,60,2003,0.24652,0.24652,0.0,
73,111,2003,1.41918,1.41918,0.0,
86,123,2003,6.15547,6.15547,0.0,
80,94,2003,7.23319,7.23319,0.0,
52,63,2003,1.45712,1.45712,0.0,
89,133,2003,7.13736,7.13736,0.0,
56,58,2003,3.53417,3.53417,0.0,
70,94,2003,2.61086,2.61086,0.0,
90,130,2003,8.95303,8.95303,0.0,
100,154,2003,7.30748,7.30748,0.0,
60,79,2003,0.20832,0.20832,0.0,
62,75,2003,1.88208,1.88208,0.0,
53,62,2003,2.12543,2.12543,0.0,
71,100,2003,2.28985,2.28985,0.0,
54,61,2003,2.40323,2.40323,0.0,
80,116,2003,2.04127,2.04127,0.0,
59,71,2003,1.3731,1.3731,0.0,
75,97,2003,4.44575,4.44575,0.0,
88,128,2003,9.52569,9.52569,0.0,
76,99,2003,4.55648,4.55648,0.0,
77,107,2003,3.80391,3.80391,0.0,
110,171,2003,8.9578,8.9578,0.0,
81,104,2003,5.6905,5.6905,0.0,
82,118,2003,3.15848,3.15848,0.0,
73,91,2003,4.56222,4.56222,0.0,
52,67,2003,0.42662,0.42662,0.0,
63,83,2003,1.60971,1.60971,0.0,
78,89,2003,7.1598,7.1598,0.0,
74,89,2003,5.51949,5.51949,0.0,
84,128,2003,8.95412,8.95412,0.0,
75,93,2003,5.063,5.063,0.0,
85,133,2003,6.874,6.874,0.0,
79,115,2003,2.06422,2.06422,0.0,
76,87,2003,6.67747,6.67747,0.0,
83,116,2003,4.93168,4.93168,0.0,
90,121,2003,7.9429,7.9429,0.0,
66,93,2003,0.47873,0.47873,0.0,
67,89,2003,2.94474,2.94474,0.0,
96,149,2003,5.623,5.623,0.0,
78,101,2003,5.416,5.416,0.0,
84,120,2003,5.48482,5.48482,0.0,
85,118,2003,6.21005,6.21005,0.0,
68,91,2003,2.16762,2.16762,0.0,
69,83,2003,3.81982,3.81982,0.0,
58,72,2003,0.82211,0.82211,0.0,
86,114,2003,7.04346,7.04346,0.0,
89,142,2003,3.83738,3.83738,0.0,
90,141,2003,4.21338,4.21338,0.0,
71,93,2003,3.23503,3.23503,0.0,
68,97,2003,1.10791,1.10791,0.0,
60,70,2003,1.79941,1.79941,0.0,
75,102,2003,3.70245,3.70245,0.0,
72,100,2003,2.74619,2.74619,0.0,
93,144,2003,4.95826,4.95826,0.0,
80,107,2003,5.22967,5.22967,0.0,
94,143,2003,5.74843,5.74843,0.0,
88,135,2003,5.97899,5.97899,0.0,
62,84,2003,2.5284,2.5284,0.0,
77,100,2003,5.08153,5.08153,0.0,
74,102,2003,3.33703,3.33703,0.0,
93,138,2003,6.3684,6.3684,0.0,
81,97,2003,7.017,7.017,0.0,
82,113,2003,4.45412,4.45412,0.0,
73,92,2003,4.28232,4.28232,0.0,
94,145,2003,5.24451,5.24451,0.0,
63,88,2003,1.96393,1.96393,0.0,
76,112,2003,2.14596,2.14596,0.0,
91,136,2003,6.5804,6.5804,0.0,
81,123,2003,0.498,0.498,0.0,
54,64,2003,1.38457,1.38457,0.0,
116,176,2003,10.70684,10.70684,0.0,
64,86,2003,2.80819,2.80819,0.0,
65,88,2003,2.70142,2.70142,0.0,
79,120,2003,0.16987,0.16987,0.0,
83,125,2003,3.05103,3.05103,0.0,
66,84,2003,4.35131,4.35131,0.0,
67,94,2003,1.14287,1.14287,0.0,
64,76,2003,2.60373,2.60373,0.0,
78,108,2003,4.31968,4.31968,0.0,
79,102,2003,5.75132,5.75132,0.0,
85,127,2003,7.82392,7.82392,0.0,
69,92,2003,2.50531,2.50531,0.0,
66,78,2003,2.77282,2.77282,0.0,
86,117,2003,6.62979,6.62979,0.0,
87,121,2003,6.78519,6.78519,0.0,
84,109,2003,7.09335,7.09335,0.0,
108,162,2003,9.2979,9.2979,0.0,
91,122,2003,8.3939,8.3939,0.0,
112,165,2003,11.62205,11.62205,0.0,
71,90,2003,3.72201,3.72201,0.0,
59,85,2003,1.14047,1.14047,0.0,
69,102,2003,0.64604,0.64604,0.0,
57,69,2003,0.74145,0.74145,0.0,
72,107,2003,1.80378,1.80378,0.0,
73,99,2003,3.30926,3.30926,0.0,
86,111,2003,7.4108,7.4108,0.0,
80,98,2003,6.57739,6.57739,0.0,
70,98,2003,1.95,1.95,0.0,
61,87,2003,1.45883,1.45883,0.0,
100,150,2003,7.55693,7.55693,0.0,
74,97,2003,3.95675,3.95675,0.0,
59,75,2003,0.68908,0.68908,0.0,
82,104,2003,6.4699,6.4699,0.0,
80,120,2003,0.7184,0.7184,0.0,
79,91,2003,7.16803,7.16803,0.0,
76,111,2003,2.72392,2.72392,0.0,
91,129,2003,9.8291,9.8291,0.0,
110,159,2003,11.58456,11.58456,0.0,
72,87,2003,5.22501,5.22501,0.0,
81,124,2003,0.1556,0.1556,0.0,
92,138,2003,5.99273,5.99273,0.0,
65,81,2003,1.1256,1.1256,0.0,
95,143,2003,6.0417,6.0417,0.0,
74,85,2003,6.45041,6.45041,0.0,
55,85,2003,0.02339,0.02339,0.0,
104,157,2003,8.64996,8.64996,0.0,
88,119,2003,7.27326,7.27326,0.0,
105,152,2003,9.23,9.23,0.0,
95,149,2003,5.1413,5.1413,0.0,
78,119,2003,0.54526,0.54526,0.0,
98,155,2003,6.12595,6.12595,0.0,
85,120,2003,6.01949,6.01949,0.0,
79,111,2003,3.86661,3.86661,0.0,
83,104,2003,7.78895,7.78895,0.0,
89,125,2003,7.35024,7.35024,0.0,
96,153,2003,5.21917,5.21917,0.0,
56,70,2003,0.26016,0.26016,0.0,
87,118,2003,7.05486,7.05486,0.0,
84,116,2003,5.98135,5.98135,0.0,
87,137,2003,4.88011,4.88011,0.0,
68,87,2003,4.11822,4.11822,0.0,
60,84,2003,1.9052,1.9052,0.0,
102,151,2003,8.42133,8.42133,0.0,
58,68,2003,1.36347,1.36347,0.0,
73,100,2003,3.25586,3.25586,0.0,
89,130,2003,8.8265,8.8265,0.0,
99,154,2003,6.73916,6.73916,0.0,
70,101,2003,1.55968,1.55968,0.0,
61,80,2003,0.22947,0.22947,0.0,
100,157,2003,6.86355,6.86355,0.0,
74,104,2003,3.00575,3.00575,0.0,
75,106,2003,2.78727,2.78727,0.0,
71,105,2003,1.56772,1.56772,0.0,
82,99,2003,7.2112,7.2112,0.0,
54,56,2003,3.88487,3.88487,0.0,
63,78,2003,1.72138,1.72138,0.0,
61,74,2003,1.87579,1.87579,0.0,
76,102,2003,4.25598,4.25598,0.0,
77,112,2003,2.94417,2.94417,0.0,
74,114,2003,0.40924,0.40924,0.0,
91,134,2003,7.3925,7.3925,0.0,
72,94,2003,3.54763,3.54763,0.0,
82,125,2003,0.3923,0.3923,0.0,
81,117,2003,2.3427,2.3427,0.0,
63,84,2003,2.99032,2.99032,0.0,
74,92,2003,4.85634,4.85634,0.0,
88,126,2003,7.2735,7.2735,0.0,
97,149,2003,6.07384,6.07384,0.0,
64,90,2003,0.9192,0.9192,0.0,
95,146,2003,5.63782,5.63782,0.0,
98,146,2003,7.3289,7.3289,0.0,
79,116,2003,1.71147,1.71147,0.0,
76,90,2003,6.13862,6.13862,0.0,
83,113,2003,5.4383,5.4383,0.0,
90,124,2003,7.82598,7.82598,0.0,
67,82,2003,1.76753,1.76753,0.0,
96,144,2003,6.3978,6.3978,0.0,
86,135,2003,6.14668,6.14668,0.0,
78,96,2003,6.18371,6.18371,0.0,
84,115,2003,6.07405,6.07405,0.0,
87,134,2003,6.45776,6.45776,0.0,
